Comment,Description,Designator,Footprint,LibRef,Quantity,Farnell PN,Digikey,LCSC

"1N4148WS","Diode - Switching 100V 150mA 1.25V@150mA 4ns SOD-323","D2, D3, D5, D6, D7","SOD-323","1N4148WS","5","2889105","","C2128"
"100nF","Capacitor non-polar SMT 0603","C2, C5, C6, C7","CCNP1608-0603_N","Cap_CCNP_0603_100nF","4","","","C14663"
"1uF","Capacitor non-polar SMT 0805","C3","CCNP2012-0805","Cap_CCNP_0805_1uF","1","","","C28323"
"2.2uF","Capacitor non-polar SMT 0805","C1, C4","CCNP2012-0805","Cap_CCNP_0805_2u2F","2","","","C49217"
"Header, 2-Pin, Right Angle","Header, 2-Pin, Right Angle","P2, P4","HDR1X2H","Header 1x2H","2","","",""
"LED Red","LED 0603 Red","D1, D4, D8, D9, D10","LED1608-0603-RED","LED-0603-Red","5","1581239","","C2286"
"LM2904DR2G","Single Supply Dual Operational Amplifier, 3 to 32 V, -40 to 105 degC, 8-Pin SOIC, Pb-Free, Tape and Reel","U1","SOIC127P600-8N - rot90","LM2904DR2G","1","","","C18229"
"MKE04Z8VTG4","Kinetis ARM uC","U2","TSSOP16_N","MKE04Z8VTG4","1","","",""
"MMBT3904LT1G","General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q1","SOT23_N","MMBT3904LT1G","1","","","C20526"
"1K","Trim Pot - single turn horizontal","RV1, RV2","RV_PCB5","POT_BOURNS_3362P","2","9354298 or similar","",""
"ORWH-SH-105D1F,000","Relay, ORWH Series, Power, Non Latching, SPDT, 5 VDC, 10 A","RLY1","Relay - ORWH-SH","Relay - ORWH-SH-105D1F","1","1181034","",""
"1K","Resistor SMT 0603","R3, R9, R16, R17, R18, R19","CR1608-0603_N","Res_CR0603","6","","","C21190"
"DNP","Resistor SMT 0603","R5, R13","CR1608-0603_N","Res_CR0603","2","","",""
"0R","Resistor SMT 0603","R2, R10","CR1608-0603_N","Res_CR0603_0R","2","","","C21189"
"10k","Resistor SMT 0603","R14, R15","CR1608-0603_N","Res_CR0603_10k","2","","","C25804"
"220R","Resistor SMT 0603","R1, R6, R7, R8, R12","CR1608-0603_N","Res_CR0603_220R","5","","","C22962"
"470R","Resistor SMT 0603","R4, R11","CR1608-0603_N","Res_CR0603_470R","2","","","C23179"
"SMD-SW-4_5.1x5.1x3.5_M","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)","S_RESET1","SMD-SW-4_5.1x5.1x3.5_M","SW_PB-TS","1","","","C318886"
"Terminal2_5.08mm","MULTICOMP MC24366 TERMINAL BLOCK EUROSTYLE, 2 POSITION, 26-12AWG, 5.08mm","P1","MOLEX-39544-3002","Terminal2_5.08mm","1","2396251","",""
"Terminal3_5.08mm","MULTICOMP MC24367 TERMINAL BLOCK EUROSTYLE, 3 POSITION, 26-12AWG, 5.08mm","P3","MOLEX-39544-3003","Terminal3_5.08mm","1","","",""
