Altium Designer Pick and Place Locations
Z:\Documents\Development\DustCollectorSwitch\PCB_V4\DustCollectorSwitch 14-Jul-23 10-22-25 AM\Pick Place for DustCollectorSwitch.csv

========================================================================================================================
File Design Information:

Date:       14-07-23
Time:       10:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation"
"C1","CCNP2012-0805","44.2650","50.5460","44.2650","50.5460","44.2650","49.5960","TopLayer","90"
"C2","CCNP1608-0603_N","40.3860","76.4540","40.3860","76.4540","41.0860","76.4540","TopLayer","180"
"C3","CCNP2012-0805","41.6560","79.7560","41.6560","79.7560","41.6560","80.7060","TopLayer","270"
"C4","CCNP2012-0805","60.3972","62.4840","60.3972","62.4840","60.3972","61.5340","TopLayer","90"
"C5","CCNP1608-0603_N","36.0680","86.3600","36.0680","86.3600","35.3680","86.3600","TopLayer","0"
"C6","CCNP1608-0603_N","47.9492","39.0780","47.9492","39.0780","48.6492","39.0780","TopLayer","180"
"C7","CCNP1608-0603_N","55.6006","41.6560","55.6006","41.6560","56.3006","41.6560","TopLayer","180"
"D1","LED1608-0603-RED","55.0300","61.9760","55.0300","61.9760","54.1800","61.9760","TopLayer","180"
"D2","SOD-323","34.0399","75.4986","34.0360","75.4960","34.0399","74.1486","TopLayer","270"
"D3","SOD-323","32.5081","75.4934","32.5120","75.4960","32.5081","76.8434","TopLayer","90"
"D4","LED1608-0603-RED","72.6440","65.2780","72.6440","65.2780","72.6440","64.4280","TopLayer","270"
"D5","SOD-323","64.7661","68.3234","64.7700","68.3260","64.7661","69.6734","TopLayer","90"
"D6","SOD-323","45.1678","85.2506","45.1639","85.2480","45.1678","83.9006","TopLayer","270"
"D7","SOD-323","43.6360","85.2454","43.6399","85.2480","43.6360","86.5954","TopLayer","90"
"D8","LED1608-0603-RED","77.9320","38.9890","77.9320","38.9890","77.0820","38.9890","TopLayer","180"
"D9","LED1608-0603-RED","77.9780","46.7360","77.9780","46.7360","77.1280","46.7360","TopLayer","180"
"D10","LED1608-0603-RED","78.0034","54.9148","78.0034","54.9148","77.1534","54.9148","TopLayer","180"
"Debug","PCBPIN_-_0.9mm","52.5810","39.5935","52.5810","39.5935","52.5810","39.5935","TopLayer","0"
"Gnd1","PCBPIN_-_0.9mm","57.9120","69.9770","57.9120","69.9770","57.9120","69.9770","TopLayer","0"
"Gnd?","PCBPIN_-_0.9mm","34.7980","43.1372","34.7980","43.1372","34.7980","43.1372","TopLayer","0"
"I1","PCBPIN_-_0.9mm","52.5810","69.9770","52.5810","69.9770","52.5810","69.9770","TopLayer","0"
"I2","PCBPIN_-_0.9mm","46.5190","69.9770","46.5190","69.9770","46.5190","69.9770","TopLayer","90"
"M1","3mm_hole","34.0000","94.9960","34.0000","94.9960","34.0000","94.9960","TopLayer","0"
"M2","3mm_hole","34.0000","36.8300","34.0000","36.8300","34.0000","36.8300","TopLayer","0"
"M3","3mm_hole","80.5180","69.5960","80.5180","69.5960","80.5180","69.5960","TopLayer","0"
"P1","MOLEX-39544-3002","36.8180","57.6580","36.8180","60.1980","36.8180","60.1980","TopLayer","180"
"P2","HDR1X2H","40.8940","68.3260","40.8940","69.5960","40.8940","69.5960","TopLayer","270"
"P3","MOLEX-39544-3003","77.2160","85.5980","77.2160","80.5180","77.2160","80.5180","TopLayer","0"
"P4","HDR1X2H","42.4180","90.6780","43.6880","90.6780","43.6880","90.6780","TopLayer","180"
"P5","SWD-2x5-Jig-Pads","48.5140","34.1630","51.0540","34.7980","51.0540","34.7980","TopLayer","180"
"Q1","SOT23_N","69.2436","68.7180","69.2436","68.7180","68.2936","67.5930","TopLayer","270"
"Qa","SOT23_M","77.2160","47.2440","77.2160","47.2440","76.0410","46.2940","BottomLayer","180"
"Qb","SOT23_M","77.2160","51.8160","77.2160","51.8160","76.0410","50.8660","BottomLayer","180"
"R1","CR1608-0603_N","37.6580","76.4540","37.6580","76.4540","36.9080","76.4540","TopLayer","0"
"R2","CR1608-0603_N","37.5920","74.6760","37.5920","74.6760","36.8420","74.6760","TopLayer","0"
"R3","CR1608-0603_N","51.8160","61.9760","51.8160","61.9760","51.0660","61.9760","TopLayer","0"
"R4","CR1608-0603_N","42.7298","73.3567","42.7298","73.3567","42.7298","74.1067","TopLayer","270"
"R5","CR1608-0603_N","42.9260","68.8340","42.9260","68.8340","42.9260","68.0840","TopLayer","90"
"R6","CR1608-0603_N","38.8388","72.6440","38.8388","72.6440","38.0888","72.6440","TopLayer","0"
"R7","CR1608-0603_N","64.7860","64.2620","64.7860","64.2620","64.7860","63.5120","TopLayer","90"
"R8","CR1608-0603_N","38.8620","86.3600","38.8620","86.3600","38.1120","86.3600","TopLayer","0"
"R9","CR1608-0603_N","72.6440","69.0880","72.6440","69.0880","72.6440","68.3380","TopLayer","90"
"R10","CR1608-0603_N","38.8620","87.8840","38.8620","87.8840","38.1120","87.8840","TopLayer","0"
"R11","CR1608-0603_N","45.7992","77.2160","45.7992","77.2160","45.7992","77.9660","TopLayer","270"
"R12","CR1608-0603_N","67.5640","64.7700","67.5640","64.7700","66.8140","64.7700","TopLayer","0"
"R13","CR1608-0603_N","42.4180","87.8840","42.4180","87.8840","41.6680","87.8840","TopLayer","0"
"R14","CR1608-0603_N","46.4230","56.8960","46.4230","56.8960","47.1730","56.8960","TopLayer","180"
"R15","CR1608-0603_N","36.0680","87.8840","36.0680","87.8840","35.3180","87.8840","TopLayer","0"
"R16","CR1608-0603_N","55.6260","39.8780","55.6260","39.8780","54.8760","39.8780","TopLayer","0"
"R17","CR1608-0603_N","74.7570","38.9890","74.7570","38.9890","74.0070","38.9890","TopLayer","0"
"R18","CR1608-0603_N","74.9300","46.7360","74.9300","46.7360","74.1800","46.7360","TopLayer","0"
"R19","CR1608-0603_N","74.8284","54.9148","74.8284","54.9148","74.0784","54.9148","TopLayer","0"
"Ra","CR1608-0603_N","76.4540","42.6720","76.4540","42.6720","77.2040","42.6720","BottomLayer","180"
"Rb","CR1608-0603_N","76.4540","44.7040","76.4540","44.7040","77.2040","44.7040","BottomLayer","180"
"Rc","CR1608-0603_N","76.4540","54.8640","76.4540","54.8640","77.2040","54.8640","BottomLayer","180"
"Rd","CR1608-0603_N","76.4540","56.8960","76.4540","56.8960","77.2040","56.8960","BottomLayer","180"
"RLY1","RELAY_-_ORWH-SH","59.1980","85.5980","60.1980","85.5980","66.2980","91.5980","TopLayer","0"
"RV1","RV_PCB5","68.0720","39.6240","68.0720","39.6240","68.0720","37.0840","TopLayer","270"
"RV2","RV_PCB5","68.0720","54.8640","68.0720","54.8640","68.0720","52.3240","TopLayer","270"
"S_RESET1","SMD-SW-4_5.1x5.1x3.5_M","58.4200","35.8140","58.4200","35.8140","61.5200","33.9390","TopLayer","0"
"U1","SOIC127P600-8N_-_ROT90","37.5589","81.7150","37.5589","81.7150","39.4639","84.1150","TopLayer","180"
"U2","TSSOP16_N","48.0480","44.5650","48.0480","44.5650","45.7730","41.6150","TopLayer","90"
"Vc1","PCBPIN_-_0.9mm","75.9460","62.2300","75.9460","62.2300","75.9460","62.2300","TopLayer","0"
