Altium Designer Pick and Place Locations
Z:\Documents\Development\DustCollectorSwitch\PCB_V6_Powered\DustCollectorSwitch 11-Sep-24 6-18-11 PM\Pick Place for DustCollectorSwitch.csv

========================================================================================================================
File Design Information:

Date:       11-09-24
Time:       18:18
Revision:   78975e6320df6a90ba8fb3ccf927fab0ba5060a7
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation"
"C1","CCNP2012-0805","-22.3520","-24.1300","-22.3520","-24.1300","-22.3520","-23.1800","TopLayer","270"
"C2","CCNP1608-0603_N","-21.1782","-13.7962","-21.1782","-13.7962","-20.4782","-13.7962","TopLayer","180"
"C3","CCNP2012-0805","-19.9082","-10.4942","-19.9082","-10.4942","-19.9082","-9.5442","TopLayer","270"
"C4","CCNP2012-0805","-10.2169","0.6400","-10.2169","0.6400","-9.2669","0.6400","TopLayer","180"
"C5","CCNP2012-0805","-24.1062","-1.8892","-24.1062","-1.8892","-23.1562","-1.8892","TopLayer","180"
"C6","CCNP1608-0603_N","-16.2608","-29.6240","-16.2608","-29.6240","-15.5608","-29.6240","TopLayer","180"
"C7","CCNP1608-0603_N","-13.1560","-29.6240","-13.1560","-29.6240","-12.4560","-29.6240","TopLayer","180"
"C8","CCNP1608-0603_N","-15.0605","-17.6062","-15.0605","-17.6062","-14.3605","-17.6062","TopLayer","180"
"Current","PCBPIN_-_0.9mm","-15.2400","-15.4940","-15.2400","-15.4940","-15.2400","-15.4940","TopLayer","90"
"D1","LED1608-0603-RED","-16.3612","3.3658","-16.3612","3.3658","-15.5112","3.3658","TopLayer","0"
"D2","SOD-323","-27.2703","-14.5556","-27.2742","-14.5582","-27.2703","-15.9056","TopLayer","270"
"D3","SOD-323","-28.8021","-14.5608","-28.7982","-14.5582","-28.8021","-13.2108","TopLayer","90"
"D4","LED1608-0603-RED","-6.3430","-2.5097","-6.3430","-2.5097","-7.1930","-2.5097","TopLayer","180"
"D5","SOD-323","-6.4096","-4.2362","-6.4070","-4.2401","-5.0596","-4.2362","TopLayer","0"
"D8","LED1608-0603-RED","0.0000","-25.0000","0.0000","-25.0000","0.8500","-25.0000","TopLayer","0"
"D9","LED1608-0603-RED","10.0000","-25.0000","10.0000","-25.0000","10.8500","-25.0000","TopLayer","0"
"Debug","PCBPIN_-_0.9mm","-9.8275","-38.0000","-9.8275","-38.0000","-9.8275","-38.0000","TopLayer","0"
"Gnd1","PCBPIN_-_0.9mm","22.0000","-38.0000","22.0000","-38.0000","22.0000","-38.0000","TopLayer","0"
"Gnd?","PCBPIN_-_0.9mm","-6.6711","-18.0531","-6.6711","-18.0531","-6.6711","-18.0531","TopLayer","0"
"J1","jst-b2b-xh-ax","-26.6700","-21.8440","-26.6700","-21.8440","-26.6700","-20.5940","TopLayer","270"
"J2","jst-b2b-xh-ax","19.5580","-21.4630","19.5580","-21.4630","18.3080","-21.4630","TopLayer","0"
"M1","3mm_hole","-29.5000","-35.0000","-29.5000","-35.0000","-29.5000","-35.0000","TopLayer","0"
"M2","3mm_hole","29.5000","-35.0000","29.5000","-35.0000","29.5000","-35.0000","TopLayer","0"
"P2","MOLEX-39544-3002","26.7220","-0.6300","26.7220","-3.1700","26.7220","-3.1700","TopLayer","0"
"P3","MOLEX-39544-3002","26.7220","-10.7900","26.7220","-13.3300","26.7220","-13.3300","TopLayer","0"
"P5","SWD-2x5-Jig-Pads","-16.9660","-37.0790","-14.4260","-36.4440","-14.4260","-36.4440","TopLayer","180"
"PM1","POWERMODULE_ALIEXPRESS_5V","0.0000","22.5000","0.0000","22.5000","23.6220","11.5000","TopLayer","180"
"Q1","SOT23_N","-6.7522","-7.2873","-6.7522","-7.2873","-7.8772","-6.3373","TopLayer","180"
"Qa","SOT23_M","-16.9620","23.3730","-16.9620","23.3730","-15.7870","24.3230","BottomLayer","0"
"Qb","SOT23_M","-16.9620","18.8010","-16.9620","18.8010","-15.7870","19.7510","BottomLayer","0"
"R1","CR1608-0603_N","-23.7182","-13.7962","-23.7182","-13.7962","-24.4682","-13.7962","TopLayer","0"
"R2","CR1608-0603_N","-23.7182","-15.5742","-23.7182","-15.5742","-24.4682","-15.5742","TopLayer","0"
"R3","CR1608-0603_N","-12.7316","3.4408","-12.7316","3.4408","-11.9816","3.4408","TopLayer","180"
"R4","CR1608-0603_N","-18.2868","-15.4890","-18.2868","-15.4890","-17.5368","-15.4890","TopLayer","180"
"R5","CR1608-0603_N","-21.6192","-20.0690","-21.6192","-20.0690","-22.3692","-20.0690","TopLayer","0"
"R6","CR1608-0603_N","-22.7254","-17.6062","-22.7254","-17.6062","-23.4754","-17.6062","TopLayer","0"
"R7","CR1608-0603_N","-9.9810","-4.1860","-9.9810","-4.1860","-10.7310","-4.1860","TopLayer","0"
"R8","CR1608-0603_N","-22.7022","-3.8902","-22.7022","-3.8902","-23.4522","-3.8902","TopLayer","0"
"R9","CR1608-0603_N","-9.8990","-2.5097","-9.8990","-2.5097","-10.6490","-2.5097","TopLayer","0"
"R10","CR1608-0603_N","9.0170","-21.4630","9.0170","-21.4630","8.2670","-21.4630","TopLayer","0"
"R11","CR1608-0603_N","-18.9612","-5.9222","-18.9612","-5.9222","-18.9612","-6.6722","TopLayer","90"
"R12","CR1608-0603_N","-9.5462","-7.2873","-9.5462","-7.2873","-9.5462","-8.0373","TopLayer","90"
"R14","CR1608-0603_N","-28.4480","-8.3820","-28.4480","-8.3820","-29.1980","-8.3820","TopLayer","0"
"R15","CR1608-0603_N","-25.4962","-3.8902","-25.4962","-3.8902","-26.2462","-3.8902","TopLayer","0"
"R16","CR1608-0603_N","-11.8392","-31.6030","-11.8392","-31.6030","-12.5892","-31.6030","TopLayer","0"
"R17","CR1608-0603_N","-3.0000","-25.0140","-3.0000","-25.0140","-3.7500","-25.0140","TopLayer","0"
"R18","CR1608-0603_N","7.0000","-25.0000","7.0000","-25.0000","6.2500","-25.0000","TopLayer","0"
"R20","CR1608-0603_N","-16.1350","-31.6030","-16.1350","-31.6030","-16.8850","-31.6030","TopLayer","0"
"Ra","CR1608-0603_N","-16.2000","27.9450","-16.2000","27.9450","-16.9500","27.9450","BottomLayer","0"
"Rb","CR1608-0603_N","-16.2000","25.9130","-16.2000","25.9130","-16.9500","25.9130","BottomLayer","0"
"Rc","CR1608-0603_N","-16.2000","15.7530","-16.2000","15.7530","-16.9500","15.7530","BottomLayer","0"
"Rd","CR1608-0603_N","-16.2000","13.7210","-16.2000","13.7210","-16.9500","13.7210","BottomLayer","0"
"RLY1","RELAY_-_ORWH-SH","9.8650","-5.3280","10.8650","-5.3280","16.9650","0.6720","TopLayer","0"
"RV1","BOURNE_3362F-1","0.0000","-32.0000","0.0000","-32.0000","-2.5400","-29.4600","TopLayer","270"
"RV2","BOURNE_3362F-1","10.0000","-32.0000","10.0000","-32.0000","10.0000","-34.5400","TopLayer","270"
"RV3","BOURNE_3362F-1","20.0000","-32.0000","20.0000","-32.0000","20.0000","-34.5400","TopLayer","270"
"TP1","PCBPIN_-_0.9mm","12.0000","-38.0000","12.0000","-38.0000","12.0000","-38.0000","TopLayer","0"
"TP2","PCBPIN_-_0.9mm","2.0000","-38.0000","2.0000","-38.0000","2.0000","-38.0000","TopLayer","0"
"U1","SOIC127P600-8N_-_ROT90","-24.0053","-8.5352","-24.0053","-8.5352","-22.1003","-6.1352","TopLayer","180"
"U2","TSSOP16_N","-16.1620","-24.1370","-16.1620","-24.1370","-18.4370","-27.0870","TopLayer","90"
"Vc1","PCBPIN_-_0.9mm","-5.3340","-11.4300","-5.3340","-11.4300","-5.3340","-11.4300","TopLayer","270"
